player,pos,age,team,team_g,g,gs,mp,fgm,fga,fg_perc,3pm,3pa,3p_perc,2pm,2pa,2p_perc,efg,ftm,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,ts,3par,ftr,orb_perc,drb_perc,trb_perc,ast_perc,stl_perc,blk_perc,tov_perv,usg_perc,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,offensive_raptor,defensive_raptor
Steven Adams,C,26,OKC,50,72.16,72.16,26.7,4.5,7.5,0.6,0,0,0,4.5,7.5,0.602,0.6,1.8,3.2,0.579,3.4,5.9,9.3,2.6,0.7,1.1,1.5,1.9,10.8,21.1,0.609,0.003,0.424,14.6,23.4,19.2,14.7,1.2,3.6,14,17.1,4.92,2.952,7.872,0.197,1.6,3.3,4.9,3.28,1.128847917,0.897122082
Bam Adebayo,PF,22,MIA,48,82,82,34.6,6,10.4,0.581,0,0.2,0.091,6,10.2,0.592,0.582,3.6,5.2,0.689,2.5,7.9,10.5,4.7,1.2,1.2,2.8,2.5,15.7,20.4,0.619,0.022,0.503,8.7,24.3,16.9,21.6,1.7,3.3,17.9,19.7,6.15,4.6125,10.7625,0.183,1,3.9,4.9,4.954166667,-0.195797163,2.029032544
LaMarcus Aldridge,C,34,SAS,48,75.16666667,75.16666667,33,7.4,14.5,0.508,1.2,2.7,0.425,6.2,11.8,0.527,0.548,3,3.5,0.84,2,5.5,7.5,2.3,0.6,1.7,1.4,2.4,18.9,20.6,0.587,0.188,0.245,6.5,17.5,12.1,10.9,0.9,4.5,7.8,22.8,5.466666667,2.220833333,7.516666667,0.147,1.6,0.7,2.3,2.733333333,-0.942566184,0.071145118
Nickeil Alexander-Walker,SG,21,NOP,49,65.26530612,0,12.7,2,5.8,0.342,1,3,0.342,0.9,2.8,0.343,0.431,0.4,0.7,0.607,0.2,1.8,2,1.9,0.3,0.2,1,1.1,5.4,8.2,0.445,0.52,0.124,1.5,15.4,8.3,20.8,1,1.2,13.8,23,-1.004081633,0.502040816,-0.502040816,-0.034,-3.8,-2.2,-6,-0.836734694,-2.135404698,-1.821489222
Grayson Allen,SG,24,MEM,49,50.20408163,0,16.6,2.6,5.9,0.449,1.1,3,0.363,1.5,2.8,0.541,0.543,1,1.2,0.857,0.2,2,2.2,1.4,0.2,0,0.8,1.2,7.4,11.5,0.577,0.517,0.199,1.1,12.9,7.1,11.7,0.6,0.2,10.7,18,0.836734694,0.167346939,1.004081633,0.059,-0.7,-2.9,-3.6,-0.334693878,-0.33533905,-1.714102892
Jarrett Allen,C,21,BRK,48,82,75.16666667,27.3,4.4,6.8,0.651,0,0.1,0,4.4,6.7,0.659,0.651,2.5,4,0.632,3.1,6.6,9.7,1.4,0.7,1.5,1.2,2.5,11.4,20.6,0.665,0.012,0.59,11.8,24.3,18.2,7.8,1.2,4.5,12,14.9,6.15,3.5875,9.7375,0.209,0.2,3.2,3.4,3.075,-0.053376054,2.56903143
Kadeem Allen,SG,27,NYK,50,16.4,0,11.7,1.9,4.4,0.432,0.5,1.6,0.313,1.4,2.8,0.5,0.489,0.7,1.1,0.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5,14.2,0.512,0.364,0.25,1.7,6.5,4,27.7,2.1,1.6,14.1,20.6,0.164,0.164,0.164,0.053,-1.3,-2.6,-3.9,-0.164,1.419472455,3.907195354
Al-Farouq Aminu,PF,29,ORL,49,30.12244898,3.346938776,21.1,1.4,4.8,0.291,0.5,2,0.25,0.9,2.8,0.32,0.343,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1,0.4,0.9,1.5,4.3,7.8,0.395,0.419,0.337,6.4,18.2,12.1,7.6,2.3,1.9,14.7,13.2,-0.669387755,1.004081633,0.334693878,0.022,-5,2.4,-2.6,-0.167346939,-5.497992284,2.766509964
Justin Anderson,SF,26,BRK,48,5.125,0,5.7,0.3,2,0.167,0,1,0,0.3,1,0.333,0.167,0.3,0.7,0.5,0,0.7,0.7,0,0,0.3,0,0.7,1,-3.8,0.218,0.5,0.333,0,11.8,6,0,0,4.8,0,16.9,-0.170833333,0,-0.170833333,-0.173,-12.8,-2.8,-15.6,-0.170833333,-10.7834544,8.020432623
Kyle Anderson,PF,26,MEM,49,71.95918367,8.367346939,17.3,2.1,4.3,0.481,0.2,0.9,0.211,1.9,3.5,0.55,0.503,0.7,1.2,0.62,0.9,3,3.9,2.1,0.7,0.5,0.9,1.4,5.1,13,0.524,0.203,0.267,5.5,18.6,12.2,15.9,2,2.4,15,13.8,0.836734694,1.33877551,2.175510204,0.082,-1.9,1.9,0,0.669387755,-1.768347213,1.792974868
Ryan Anderson,PF,31,HOU,48,3.416666667,0,7,1,3.5,0.286,0.5,2.5,0.2,0.5,1,0.5,0.357,0,0,0,0,3.5,3.5,1,0.5,0,0.5,0.5,2.5,9.6,0.357,0.714,0,0,52,26,20,3.3,0,12.5,23.4,0,0,0,-0.026,-7.1,1.8,-5.3,0,-8.102412081,-0.364824421
Giannis Antetokounmpo,PF,25,MIL,48,75.16666667,75.16666667,30.7,11.1,20.1,0.553,1.6,5,0.318,9.5,15.1,0.63,0.592,6.2,10.3,0.608,2.4,10.6,13,5.7,1.1,1.1,3.5,3.1,30,32.6,0.61,0.249,0.511,8.2,32.2,21,33.6,1.7,3.1,12.6,37.9,8.2,5.979166667,14.00833333,0.293,7.3,4.9,12.2,8.2,5.580917688,3.013321313
Kostas Antetokounmpo,PF,22,LAL,48,5.125,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0,0,0,0,0,8.6,0,0,0,0,21.3,10.9,22.5,0,0,0,0,0,0,0,0.132,-4.8,1,-3.8,0,1.193489567,-21.26961816
Thanasis Antetokounmpo,SF,27,MIL,48,25.625,1.708333333,4.1,0.9,1.5,0.565,0,0.2,0,0.9,1.3,0.65,0.565,0.3,0.6,0.444,0.4,0.1,0.5,0.4,0.1,0.1,0.3,0.6,2,13.8,0.556,0.13,0.391,10.4,1.5,5.7,14.1,1.5,1.4,15.6,21.7,0.170833333,0.170833333,0.170833333,0.107,-1.7,-1.3,-3,0,0.152915294,-0.913411774
Carmelo Anthony,PF,35,POR,50,55.76,55.76,32.5,6,14.1,0.426,1.4,3.8,0.369,4.6,10.3,0.447,0.476,2.3,2.8,0.84,1.3,5.3,6.6,1.6,0.9,0.5,1.8,3,15.8,12.9,0.514,0.27,0.195,4.2,16.6,10.5,7.1,1.3,1.4,10.5,22.3,0.164,1.148,1.312,0.036,-2.1,-1.1,-3.2,-0.492,-1.419405094,-3.244169778
OG Anunoby,SF,22,TOR,49,80.32653061,78.65306122,29.2,4.2,8.5,0.489,1.3,3.5,0.365,2.9,5,0.577,0.565,0.8,1.2,0.649,1.1,4.3,5.4,1.6,1.1,0.7,1.2,2.4,10.4,12.4,0.575,0.416,0.139,3.9,15.3,9.7,8.1,1.7,2.3,11.8,15,1.673469388,3.848979592,5.52244898,0.114,-1,2.2,1.3,1.840816327,-1.199857479,1.313727158
Ryan Arcidiacono,PG,25,CHI,51,75.56862745,0,14.4,1.3,3.3,0.394,0.8,2,0.4,0.5,1.3,0.383,0.516,0.4,0.6,0.731,0.3,1.3,1.6,1.5,0.4,0.1,0.5,1.7,3.8,8.4,0.538,0.613,0.168,2.2,10.4,6.1,14.6,1.3,0.4,12.6,12,0.803921569,0.964705882,1.607843137,0.074,-2.1,-0.9,-3.1,-0.321568627,-1.280322643,2.35227406
Trevor Ariza,SF,34,TOT,49,61.91836735,8.367346939,26,2.4,5.6,0.418,1.4,3.8,0.362,1,1.8,0.537,0.541,0.6,0.8,0.774,0.7,4,4.6,1.6,1.2,0.2,0.9,2.1,6.7,10.2,0.562,0.678,0.149,2.8,17.4,9.9,8.3,2.2,0.8,13,11.5,1.004081633,1.506122449,2.510204082,0.076,-0.9,0.9,0,0.836734694,-1.751642058,1.549431798
D.J. Augustin,PG,32,ORL,49,65.26530612,10.04081633,26,3.3,8.4,0.393,1.2,3.5,0.346,2.1,4.9,0.426,0.465,2.9,3.3,0.877,0.4,2.1,2.4,4.7,0.7,0,1.4,1.1,10.7,14.5,0.544,0.417,0.399,1.5,8.7,4.9,27.3,1.3,0.1,12.4,18.7,2.510204082,1.506122449,3.848979592,0.111,0.1,-2,-1.9,0,-0.203997162,-1.000924889
Deandre Ayton,C,21,PHO,48,30.75,22.20833333,32.7,7.8,14.6,0.538,0,0.1,0,7.8,14.5,0.54,0.538,2.1,2.6,0.826,3.6,8,11.6,1.8,0.7,1.5,1.6,2.9,17.8,20.2,0.567,0.004,0.176,11.7,27.5,19.5,9.2,1,3.9,9.3,22.4,1.5375,1.366666667,2.904166667,0.14,-1.3,1.5,0.2,0.5125,-1.559291945,3.155124665
Dwayne Bacon,SG,24,CHO,49,60.24489796,16.73469388,17.9,2.4,6.6,0.359,0.5,1.8,0.288,1.8,4.8,0.386,0.399,0.9,1.4,0.647,0.4,2.1,2.4,1.4,0.6,0.1,0.9,1.4,6.2,6.7,0.428,0.278,0.215,2.3,13.1,7.5,11.9,1.7,0.3,11.3,19.9,-1.673469388,0.502040816,-1.004081633,-0.047,-5.7,-1.8,-7.5,-1.506122449,-4.595670571,-0.797460482
Marvin Bagley,PF,20,SAC,49,21.75510204,10.04081633,25.7,6,12.8,0.467,0.3,1.7,0.182,5.7,11.2,0.51,0.479,1.9,2.4,0.806,2.2,5.2,7.5,0.8,0.5,0.9,1.4,3.3,14.2,16,0.512,0.132,0.186,9.5,23.6,16.4,5.1,0.9,3.4,9.1,25.9,0.167346939,0.502040816,0.669387755,0.057,-3.9,-1.7,-5.6,-0.502040816,-3.905051649,-0.254754498
Lonzo Ball,PG,22,NOP,49,68.6122449,53.55102041,31.4,4.5,11.4,0.392,2.3,6.5,0.362,2.1,4.9,0.431,0.495,0.7,1.2,0.54,1.2,4.7,5.9,6.7,1.3,0.4,2.9,1.9,11.9,13,0.5,0.567,0.107,4,15.9,9.9,29.2,1.9,1,19.3,19.4,0.502040816,1.673469388,2.175510204,0.047,0,0.2,0.3,1.171428571,-0.784916932,-0.483295334
Mo Bamba,C,21,ORL,49,75.30612245,0,15.3,2.2,4.8,0.458,0.6,1.8,0.325,1.6,3,0.537,0.519,0.4,0.7,0.667,1.5,3.6,5.1,0.6,0.4,1.4,0.8,1.8,5.4,16.1,0.532,0.37,0.139,9.9,25.9,17.6,6.5,1.2,8.5,13.2,16.7,0.502040816,2.342857143,2.844897959,0.119,-3.2,4.2,1,0.836734694,-2.142119024,3.411438949
