player,all-nba-prob
James Harden,0.9480215311050415
Giannis Antetokounmpo,0.9480148553848267
Anthony Davis,0.9479857683181763
Damian Lillard,0.9479836225509644
LeBron James,0.947951078414917
Luka Doncic,0.9479497671127319
Jimmy Butler,0.9478923678398132
Rudy Gobert,0.9478687644004822
Kawhi Leonard,0.9478293657302856
Ben Simmons,0.9477744102478027
Nikola Jokic,0.9475186467170715
Karl-Anthony Towns,0.9472841024398804
Bam Adebayo,0.9470556974411011
Devin Booker,0.9464844465255737
Joel Embiid,0.9444474577903748
Domantas Sabonis,0.9431513547897339
Trae Young,0.9424223899841309
Kemba Walker,0.9404627084732056
Kyle Lowry,0.9393622875213623
Hassan Whiteside,0.9336522221565247
Khris Middleton,0.9310164451599121
Fred VanVleet,0.9268943071365356
Pascal Siakam,0.922353208065033
Russell Westbrook,0.9170670509338379
Chris Paul,0.9143471121788025
DeMar DeRozan,0.9121332168579102
Donovan Mitchell,0.8602151274681091
Clint Capela,0.8315081596374512
Kyrie Irving,0.829150915145874
Brandon Ingram,0.8029384613037109
Bradley Beal,0.7760326862335205
Nikola Vucevic,0.7025138139724731
Jayson Tatum,0.6029720306396484
Jaylen Brown,0.5255657434463501
Paul George,0.44798198342323303
Gordon Hayward,0.4315990209579468
Danilo Gallinari,0.4140489399433136
Eric Bledsoe,0.3475889563560486
LaMarcus Aldridge,0.31634461879730225
Tobias Harris,0.21559995412826538
Zach LaVine,0.20887699723243713
Malcolm Brogdon,0.18707752227783203
Andre Drummond,0.17573970556259155
De'Aaron Fox,0.14996907114982605
Shai Gilgeous-Alexander,0.1443256437778473
Steven Adams,0.14309266209602356
John Collins,0.12286686897277832
Stephen Curry,0.10660269856452942
Richaun Holmes,0.08404144644737244
Jarrett Allen,0.07887303829193115
Jrue Holiday,0.07769456505775452
Will Barton,0.07266959547996521
T.J. Warren,0.07223466038703918
D'Angelo Russell,0.06265479326248169
Jamal Murray,0.060570478439331055
Al Horford,0.057276129722595215
Zion Williamson,0.05636218190193176
Bojan Bogdanovic,0.04099854826927185
Wendell Carter,0.04053768515586853
Jonas Valanciunas,0.03906595706939697
Jonathan Isaac,0.0366000235080719
Kelly Oubre,0.034963369369506836
Deandre Ayton,0.028072267770767212
Evan Fournier,0.027677983045578003
Ricky Rubio,0.02220931649208069
Ja Morant,0.021437644958496094
Andrew Wiggins,0.019577056169509888
Marcus Morris,0.017286360263824463
Paul Millsap,0.01654037833213806
Kristaps Porzingis,0.01575717329978943
CJ McCollum,0.013874620199203491
Patrick Beverley,0.012319177389144897
Marc Gasol,0.011332482099533081
Josh Richardson,0.009869635105133057
Jeremy Lamb,0.008057057857513428
Derrick Favors,0.007891297340393066
Kevin Love,0.007175415754318237
Daniel Theis,0.006873130798339844
Myles Turner,0.0059681236743927
Zach Collins,0.005391627550125122
Tomas Satoransky,0.005050539970397949
Luke Kennard,0.00469401478767395
Brook Lopez,0.004653066396713257
Dwight Powell,0.00436052680015564
Otto Porter,0.0037623047828674316
Reggie Jackson,0.0031495392322540283
Kendrick Nunn,0.0030628740787506104
Lauri Markkanen,0.0029882490634918213
Jaren Jackson,0.0028879642486572266
Rodney Hood,0.002882152795791626
Julius Randle,0.0026159584522247314
OG Anunoby,0.002580493688583374
Blake Griffin,0.002436310052871704
JaVale McGee,0.0024200379848480225
Harrison Barnes,0.0021103322505950928
Rui Hachimura,0.0018580853939056396
Nemanja Bjelica,0.0018393993377685547
Aaron Gordon,0.001834958791732788
Terry Rozier,0.0016864240169525146
Carmelo Anthony,0.0013953745365142822
Marques Bolden,0.0013028383255004883
Gary Harris,0.001286238431930542
Tristan Thompson,0.001275777816772461
Ivica Zubac,0.0012688494753092527
Joe Harris,0.0011789202690124512
P.J. Tucker,0.0011532902717590332
Draymond Green,0.0011351406574249268
Talen Horton-Tucker,0.0011055171489715576
Victor Oladipo,0.0009457767009735107
Thomas Bryant,0.0007428228855133057
Robert Covington,0.0006920397281646729
Eric Mika,0.000676274299621582
Josh Jackson,0.0006466209888458252
P.J. Washington,0.0006004869937896729
Dorian Finney-Smith,0.000508725643157959
Justise Winslow,0.0005022585391998291
Collin Sexton,0.0005015730857849121
Matt Mooney,0.00046500563621520996
Glenn Robinson,0.00041490793228149414
Danny Green,0.0003979504108428955
Spencer Dinwiddie,0.00031563639640808105
Naz Mitrou-Long,0.0002961158752441406
Marvin Bagley,0.0002734065055847168
Marcus Smart,0.00026682019233703613
Reggie Bullock,0.00024819374084472656
Royce O'Neale,0.0002320706844329834
Duncan Robinson,0.0002116560935974121
Wesley Matthews,0.00021076202392578125
Jae Crowder,0.0001970529556274414
Dion Waiters,0.00019669532775878906
Buddy Hield,0.0001939237117767334
Mike Conley,0.00019115209579467773
Ian Mahinmi,0.00017258524894714355
Dillon Brooks,0.00016617774963378906
Ryan Anderson,0.00011214613914489746
Devonte' Graham,0.00010818243026733398
Markelle Fultz,0.0001055300235748291
J.J. Redick,0.0001004934310913086
Willie Cauley-Stein,8.52346420288086e-05
Josh Gray,7.703900337219238e-05
Frank Mason,7.477402687072754e-05
Jabari Parker,6.115436553955078e-05
Meyers Leonard,6.115436553955078e-05
Taurean Prince,5.650520324707031e-05
Aron Baynes,5.59687614440918e-05
